order_id,date,region,category,product,segment,units,revenue,cost
ORD-2000,2024-06-01,East,Apparel,Trail Jacket,SMB,4,270.94,150.85
ORD-2001,2024-06-01,North,Electronics,Pulse Earbuds,SMB,4,1452.72,944.1
ORD-2002,2024-06-02,South,Electronics,Pulse Earbuds,Consumer,1,317.3,212.35
ORD-2003,2024-06-02,West,Electronics,Nova Monitor,Consumer,1,409.53,229.97
ORD-2004,2024-06-02,South,Electronics,Nova Monitor,Corporate,3,1457.27,915.59
ORD-2005,2024-06-02,Central,Electronics,Nova Monitor,Corporate,5,2483.87,1568.94
ORD-2006,2024-06-02,East,Apparel,Core Tee,Corporate,4,262.65,158.62
ORD-2007,2024-06-03,South,Apparel,Core Tee,SMB,2,174.85,119.97
ORD-2008,2024-06-03,Central,Apparel,Trail Jacket,Corporate,3,202.14,116.43
ORD-2009,2024-06-03,East,Office,Gel Pens,Corporate,5,123.52,69.85
ORD-2010,2024-06-03,South,Electronics,Nova Monitor,SMB,4,1325.54,918.05
ORD-2011,2024-06-03,South,Office,Gel Pens,Consumer,1,23.3,13.28
ORD-2012,2024-06-04,North,Electronics,Aura Laptop,Corporate,2,824.67,484.16
ORD-2013,2024-06-04,West,Apparel,Core Tee,Consumer,2,103.22,68.23
ORD-2014,2024-06-04,North,Apparel,Trail Jacket,SMB,5,460.44,276.87
ORD-2015,2024-06-05,North,Electronics,Pulse Earbuds,Corporate,3,1544.47,908.55
ORD-2016,2024-06-05,North,Office,Gel Pens,Consumer,2,44.31,29.69
ORD-2017,2024-06-05,Central,Apparel,Core Tee,Corporate,4,333.05,196.64
ORD-2018,2024-06-05,South,Office,Gel Pens,SMB,5,113.44,71.6
ORD-2019,2024-06-05,Central,Electronics,Aura Laptop,SMB,5,2451.77,1643.45
ORD-2020,2024-06-06,East,Furniture,Ergo Chair,Corporate,1,254.11,170.48
ORD-2021,2024-06-06,North,Office,Notebook Set,Consumer,2,33.88,18.84
ORD-2022,2024-06-06,South,Electronics,Pulse Earbuds,SMB,3,1394.62,872.97
ORD-2023,2024-06-07,West,Office,Notebook Set,Corporate,3,60.66,41.19
ORD-2024,2024-06-07,Central,Office,Notebook Set,SMB,5,85.63,53.03
ORD-2025,2024-06-07,East,Electronics,Aura Laptop,SMB,1,505.42,335.78
ORD-2026,2024-06-07,West,Furniture,Oak Desk,SMB,1,278.18,155.66
ORD-2027,2024-06-07,East,Electronics,Nova Monitor,SMB,3,1103.51,725.8
ORD-2028,2024-06-08,Central,Electronics,Nova Monitor,Corporate,2,646.17,436.1
ORD-2029,2024-06-08,West,Electronics,Nova Monitor,SMB,2,986.24,547.08
ORD-2030,2024-06-08,South,Electronics,Nova Monitor,Corporate,5,1470.25,934.38
ORD-2031,2024-06-08,Central,Apparel,Trail Jacket,Corporate,4,285.83,187.3
ORD-2032,2024-06-09,West,Office,Notebook Set,Corporate,3,57.66,32.41
ORD-2033,2024-06-09,East,Furniture,Ergo Chair,Consumer,2,683.68,458.56
ORD-2034,2024-06-09,East,Electronics,Aura Laptop,Corporate,4,1582.72,1031.71
ORD-2035,2024-06-09,East,Office,Gel Pens,Corporate,5,76.33,46.1
ORD-2036,2024-06-10,Central,Apparel,Core Tee,Consumer,2,168.26,96.02
ORD-2037,2024-06-10,West,Electronics,Aura Laptop,Consumer,2,680.99,461.47
ORD-2038,2024-06-10,West,Office,Notebook Set,Consumer,2,47.36,31.9
ORD-2039,2024-06-10,East,Furniture,Ergo Chair,Consumer,5,1466.21,941.66
ORD-2040,2024-06-10,West,Office,Notebook Set,Consumer,1,12.67,8.05
ORD-2041,2024-06-11,East,Electronics,Aura Laptop,Corporate,2,671.96,370.98
ORD-2042,2024-06-11,Central,Office,Notebook Set,SMB,5,91.68,51.84
ORD-2043,2024-06-11,Central,Apparel,Core Tee,Corporate,2,185.74,124.21
ORD-2044,2024-06-12,South,Electronics,Nova Monitor,Corporate,1,363.4,216.2
ORD-2045,2024-06-12,South,Furniture,Ergo Chair,SMB,1,347.42,229.84
ORD-2046,2024-06-12,West,Furniture,Ergo Chair,Consumer,1,276.77,167.31
ORD-2047,2024-06-12,West,Apparel,Core Tee,Corporate,3,151.06,87.2
ORD-2048,2024-06-12,Central,Office,Gel Pens,Corporate,2,45.42,30.94
